row_id,claim_id,support_status,table,evidence_type,paper,citation,page_number,text,paper_title,year,journal,doi,source
E1,C1,SUPPORTED,methods,method,P1,P1 p2,2,to the detection of antibiotic-resistance (Figure 1) resulted from the observation that the hydrolysis of the -lactam ring Using the ClinProtTools analysis software (v3.0; Bruker after exposure of -lactam antibiotics to -lactamase producing Daltonics) to investigate possible differences between the (aerobic and anaerobic) bacteria could be revealed in mass protein patterns of KPC-producing and non-KPC-producing spectra by a decrease of the peak corresponding to the antibiotic K,Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E2,C2,SUPPORTED,methods,method,P1,P1 p2,2,"The analysis was performed using an MBT Compass presence of the 2415 � 2.00 m/z peak has been shown to predict STAR-BL module software (Bruker Daltonics), automatically mecA carriage in S",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E3,C3,SUPPORTED,methods,method,P1,P1 p2,2,"fragilis can be distinguished from cfiA-negative strains by a set of peak shifts in IDENTIFICATION OF BIOMARKERS the interval 4,000�5,500 Da, using the MALDI Biotyper software ASSOCIATED WITH DRUG-RESISTANCE (Bruker Daltonics)]",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E4,C4,SUPPORTED,methods,method,P1,P1 p2,2,"Two reference spectra were created, one specific for cfiA-negative and one for cfiA-positive strains",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E5,C5,SUPPORTED,methods,method,P1,P1 p3,3,"A MALDI-TOF biomarker peak-based without incubation with the antibiotic, followed by a different recognition model was evaluated in three collections from spectral analysis, except for the method of Leung, which does not Spain and France",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E6,C6,SUPPORTED,methods,method,P1,P1 p5,5,"Bacteria incubation with the antibiotic was performed using the MALDI are grown, in parallel, in two different culture media, one Biotyper 3.1 software, routinely used for microbial identification",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E7,C7,SUPPORTED,methods,method,P1,P1 p5,5,"For Candida albicans, the minimal profile change concentrations (MPCCs) [i.e., the minimum Another MALDI-TOF MS-based method requires incubation drug concentration at which an alteration of mass spectra of bacteria with different concentrations of antibiotic, recovery can be detected, has been highly correlated with the MICs of microorganisms before MS analysis (Li et al., 2018) using the (Marinach et al., 2009)]",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E8,C8,SUPPORTED,methods,method,P1,P1 p7,7,"producing enterobacterales susceptible to imipenem/relebactam by using the Johansson, A., Nagy, E., and Soki, J",Detection of Antibiotic-Resistance by MALDI-TOF Mass Spectrometry: An Expanding Area,2020,Frontiers in Cellular and Infection Microbiology,10.3389/fcimb.2020.572909,10.3389/fcimb.2020.572909
E9,C9,SUPPORTED,methods,method,P2,P2 p1,1,"This article was submitted to Keywords: blood culture, MALDI-TOF mass spectrometry, bacterial identification, fungal identification, Systems Microbiology, antimicrobial resistance a section of the journal Frontiers in Microbiology INTRODUCTION Received: 06 December 2017 The application of mass spectrometry (MS) to bacterial identification was firstly proposed Accepted: 08 May 2018 by Anhalt and Fenselau (1975), based on the observation that different mass spectra were Published: 29 May 2018 o...",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E10,C10,SUPPORTED,methods,method,P2,P2 p2,2,"Using a MALDI L�vesque et al., 2015)",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
E11,C11,SUPPORTED,methods,method,P2,P2 p3,3,"aureus for analysis make MALDI-TOF MS one of the most promising lineages using MALDI-TOF MS (Du et al., 2002; Schlebusch techniques for the identification of microbial pathogens directly et al., 2010; Gagnaire et al., 2012; Josten et al., 2013; Sparbier from positive BCs (La Scola and Raoult, 2009; Moussaoui et al., et al., 2013; Wang et al., 2013)",Recent Advances and Ongoing Challenges in the Diagnosis of Microbial Infections by MALDI-TOF Mass Spectrometry,2018,Frontiers in Microbiology,10.3389/fmicb.2018.01097,10.3389/fmicb.2018.01097
